sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
84,805,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 55 00 00 00 0a e6 e8 30 db d3 c9 d1 7b 67 1f 10 84 00 00 00 00 13 15 80 00 00 00 00 00 01 28 00 04 11",""
85,831,"PACKET","IN",200,38,"VehicleSync","id=200 bytes=38","c8 2d 00 3d 00 00 00 00 00 00 00 38 e0 42 c0 9b 30 8b 48 ea cc 3c 74 12 74 5f ad f7 f4 20 00 00 00 0e 80 3f 00 00",""
86,832,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 2d 00 12 29 55 5d 3f 83 33 ee be 4f 70 42 be d0 c3 b2 c3 aa ac 27 45 5c 0f 8b 42 00 00 00 00 3f 28",""
87,832,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 60 00 00 00 26 94 e5 b0 f3 00 49 d1 6c 24 9f 10 80 00 00 00 02 2a 1d c0 00 00 00 00 00 01 28 00 04 11",""
88,832,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 04 04 8d a0 c3 f8 22 27 45 ed 9c 7c 42 35 df 41 3f 00 00 00 80 00 00 00 00 7d 2e 27 bf 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 a5 04 08 80",""
89,854,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","1f 00",""
90,854,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","1f 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
91,882,"RPC","IN",134,80,"ShowTextDraw","id=134 bytes=80","f0 00 13 9a 99 19 3f 00 00 00 40 00 00 00 66 00 00 cc 42 00 00 a0 41 00 00 00 32 00 01 00 00 00 66 04 00 00 00 59 43 00 00 b8 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 3f ff ff ff ff 0d 00 6c 64 5f 64 75 61 6c 3a 77 68 69 74 65",""
92,882,"RPC","IN",134,80,"ShowTextDraw","id=134 bytes=80","2c 08 11 9a 99 19 3f 00 00 00 40 1a ff 00 aa 5c 8f 82 3f 00 00 a0 41 00 00 00 32 00 01 00 00 00 ff 04 00 00 00 59 43 00 00 b8 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 3f ff ff ff ff 0d 00 6c 64 5f 64 75 61 6c 3a 77 68 69 74 65",""
93,882,"RPC","IN",134,75,"ShowTextDraw","id=134 bytes=75","2d 08 18 56 99 59 3e 33 33 b3 3f ff ff ff e6 00 00 a0 44 00 00 a0 44 00 00 00 32 00 00 00 00 00 ff 01 00 00 00 86 43 00 c0 b9 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 3f ff ff ff ff 08 00 4d 45 4e 47 45 4d 41 53",""
94,882,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","80 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
95,883,"RPC","IN",135,2,"HideTextDraw","id=135 bytes=2","4d 00",""
96,883,"RPC","IN",135,2,"HideTextDraw","id=135 bytes=2","4e 00",""
97,883,"RPC","IN",135,2,"HideTextDraw","id=135 bytes=2","4f 00",""
98,883,"RPC","IN",135,2,"HideTextDraw","id=135 bytes=2","2b 08",""
99,883,"PACKET","IN",207,49,"PlayerSync","id=207 bytes=49","cf 30 00 00 00 05 42 e6 f0 f1 d7 49 d1 7b 67 1f 10 84 00 00 00 02 42 33 00 00 00 00 00 00 03 ff fe 00 00 00 00 00 00 00 00 00 00 00 01 28 00 04 11",""
100,883,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 57 00 00 00 02 e3 63 70 d2 da c9 91 7b a3 1e 90 80 00 00 00 01 ce b5 80 00 00 00 00 00 01 28 00 04 11",""
101,908,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1f 00 00 00 05 25 a8 30 e1 ff 09 91 7b 67 1f 10 84 00 00 00 03 0b 6f 00 00 00 00 00 00 01 a5 04 e8 80",""
102,909,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 04 04 8d a0 c3 f8 22 27 45 ed 9c 7c 42 35 df 41 3f 00 00 00 80 00 00 00 00 7d 2e 27 bf 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 00 04 11",""
103,930,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 83 00 00 00 08 58 a5 b0 cc 06 09 d1 6c 24 9f 10 80 00 00 00 02 4a 06 40 00 00 00 00 00 01 28 00 04 11",""
104,952,"RPC","IN",24,18,"SetVehicleParamsEx","id=24 bytes=18","3d 00 00 00 ff 00 ff 00 ff ff ff ff ff ff ff ff ff ff",""
105,978,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 63 00 00 00 32 ca a3 30 d3 66 89 91 6c 9f 1e 90 84 00 00 00 00 aa c4 40 00 00 00 00 00 01 28 00 04 11",""
106,978,"RPC","IN",105,7,"TextDrawSetString","id=105 bytes=7 | TextDrawID=2086 length=3 text=""100""","26 08 03 00 31 30 30",""
107,978,"RPC","IN",105,5,"TextDrawSetString","id=105 bytes=5 | TextDrawID=2087 length=1 text=""0""","27 08 01 00 30",""
