sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
483,2713,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
484,2713,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
485,2713,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 63 00 00 00 35 23 63 70 dd 23 09 91 54 21 9e 90 80 00 00 00 02 22 63 80 00 00 00 00 00 01 28 00 04 11",""
486,2713,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 fb ff e0 7f c2 00 01 f1 27 70 d0 5e 09 91 61 4b 9f 10 80 00 00 00 01 76 53 00 00 01 d8 0f 78 f5 13 e7 d2 a3 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
487,2713,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 85 00 00 00 0b e5 a5 b0 ce 81 09 d1 6c 24 9f 10 80 00 00 00 02 bb 51 80 00 00 00 00 00 01 28 00 04 11",""
488,2713,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 85 00 04 66 0c b5 3e 82 05 69 3f 30 a1 5c be 4f 1f 97 c3 1b d8 26 45 c1 ca 80 42 00 00 00 00 3f c6",""
489,2732,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 04 67 0a 9b c3 6b 06 27 45 ed 9c 7c 42 11 b2 39 3f 00 00 00 80 00 00 00 00 14 38 30 bf 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 a5 04 04 80",""
490,2773,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 53 00 00 00 2a a7 a8 30 f7 98 09 d1 7a e7 1f 10 84 00 00 00 02 ba 42 c0 00 00 00 00 00 01 a5 04 04 80",""
491,2773,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 fb 7f e0 7f c2 00 09 ee 67 70 ee 9e 09 91 75 cb df 10 80 00 00 00 01 ca 4f 00 00 02 0d 83 80 f7 9f e0 0a ab fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
492,2797,"RPC","IN",134,80,"ShowTextDraw","id=134 bytes=80","f0 00 13 9a 99 19 3f 00 00 00 40 00 00 00 66 00 00 cc 42 00 00 a0 41 00 00 00 32 00 01 00 00 00 66 04 00 00 00 59 43 00 00 b8 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 3f ff ff ff ff 0d 00 6c 64 5f 64 75 61 6c 3a 77 68 69 74 65",""
493,2797,"RPC","IN",134,80,"ShowTextDraw","id=134 bytes=80","2c 08 11 9a 99 19 3f 00 00 00 40 1a ff 00 aa 5c 8f 82 3f 00 00 a0 41 00 00 00 32 00 01 00 00 00 ff 04 00 00 00 59 43 00 00 b8 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 3f ff ff ff ff 0d 00 6c 64 5f 64 75 61 6c 3a 77 68 69 74 65",""
494,2797,"RPC","IN",134,75,"ShowTextDraw","id=134 bytes=75","2d 08 18 56 99 59 3e 33 33 b3 3f ff ff ff e6 00 00 a0 44 00 00 a0 44 00 00 00 32 00 00 00 00 00 ff 01 00 00 00 86 43 00 c0 b9 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 3f ff ff ff ff 08 00 4d 45 4d 4f 54 4f 4e 47",""
495,2797,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","a8 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
496,2798,"RPC","IN",135,2,"HideTextDraw","id=135 bytes=2","4d 00",""
497,2798,"RPC","IN",135,2,"HideTextDraw","id=135 bytes=2","4e 00",""
498,2798,"RPC","IN",135,2,"HideTextDraw","id=135 bytes=2","4f 00",""
499,2798,"RPC","IN",135,2,"HideTextDraw","id=135 bytes=2","2b 08",""
500,2798,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 46 00 00 00 15 57 20 b0 da 5b c8 51 40 12 1f 90 84 00 00 00 02 f3 eb c0 01 10 00 00 00 01 d8 03 04 11",""
501,2798,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 46 00 04 f8 91 2c 3f 2c bc 3a 3f 0a 11 ee bd 48 ff 83 c3 be 36 21 45 2b 78 81 42 00 00 00 00 23 37",""
502,2799,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","92 00",""
503,2799,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","92 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
504,2799,"RPC","IN",137,14,"ServerJoin","id=137 bytes=14","56 00 00 00 00 00 00 06 63 61 6e 67 7a 77",""
505,2799,"RPC","IN",72,6,"SetPlayerColor","id=72 bytes=6","56 00 ff 83 7f 7f",""
506,2799,"RPC","IN",165,2,"WorldVehicleRemove","id=165 bytes=2","1c 00",""
507,2820,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 fb 7f e0 7f c2 00 1a 5f a7 70 d7 de c9 91 4f 0d df 10 80 00 00 00 02 de 4b 00 00 02 f7 3f e4 f5 33 e2 da af fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
508,2820,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 04 67 0a 9b c3 6b 06 27 45 ed 9c 7c 42 11 b2 39 3f 00 00 00 80 00 00 00 00 14 38 30 bf 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 00 04 11",""
509,2864,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 53 00 00 00 29 27 a8 30 f7 98 09 d1 7a e7 1f 10 84 00 00 00 02 ba 42 c0 00 00 16 e4 38 e4 57 d6 d6 cf fd fd a5 04 04 80",""
510,2865,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 fc 7f e0 7f c2 00 21 59 67 70 df df 09 91 58 0e 9f 10 80 00 00 00 03 fa 4f 00 00 01 cf f0 00 f9 fb e0 ae af fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
511,2865,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1a 00 00 00 33 5a 2a b0 f5 86 c9 d1 5e 8c 5f 90 80 00 00 00 03 97 ed 80 00 00 00 00 00 01 a8 04 04 18",""
512,2865,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 fd ff e0 7f c2 00 1f 93 27 70 e4 9f 49 91 57 cf 5f 10 80 00 00 00 00 46 5b 00 00 03 5f f0 00 f9 57 e7 0a a3 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
513,2886,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 02 00 00 00 2d a2 e3 70 ee 9a 89 91 77 a3 1e 90 80 00 00 00 00 8a aa c0 00 00 00 00 00 01 28 00 04 11",""
514,2886,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 29 00 00 00 28 26 a8 30 d1 15 49 d1 7b 67 1f 10 84 00 00 00 03 a9 ff c0 00 00 00 00 00 01 28 00 04 11",""
515,2886,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 ff 7f e0 7f c2 00 0a 50 27 70 c5 1f 89 91 73 4f 9f 10 80 00 00 00 01 46 63 00 00 03 04 af f0 f6 4f e4 1a a3 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
516,2886,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 00 67 0a 9b c3 6b 06 27 45 ed 9c 7c 42 11 b2 39 3f 00 00 00 80 00 00 00 00 14 38 30 bf 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 00 04 11",""
517,2909,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","7c 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
518,2909,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 ff ff e0 7f c2 00 2d 8c e7 70 e3 9f 89 91 48 90 1f 10 80 00 00 00 03 d2 63 00 00 03 43 eb ec f5 af e9 76 97 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
519,2930,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 2d 00 00 00 3c 58 68 30 c1 50 49 d1 7b 67 1f 10 84 00 00 00 02 aa b3 c0 00 00 00 00 00 01 28 00 04 11",""
520,2930,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 81 00 60 7f c2 00 29 c9 e7 70 c0 5f c9 91 58 d0 5f 10 80 00 00 00 00 d6 6f 00 00 01 94 17 d0 f6 9b ea 6e 93 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
521,2931,"RPC","IN",105,19,"TextDrawSetString","id=105 bytes=19","2f 01 0f 00 30 39 20 41 67 75 73 74 75 73 20 32 30 32 36",""
522,2931,"RPC","IN",105,12,"TextDrawSetString","id=105 bytes=12","30 01 08 00 31 32 3a 30 31 3a 34 39",""
523,2951,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4d 00 00 00 02 00 23 30 e6 e4 09 91 70 1e 9e 90 84 00 00 00 03 da d0 80 00 00 00 00 00 01 28 00 04 11",""
524,2951,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 83 80 60 7f c2 00 31 c3 e7 70 f4 1f c9 91 69 d0 df 10 80 00 00 00 03 be 7b 00 00 03 94 2f b8 f6 97 ec 5a 87 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
525,2977,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 53 00 00 00 23 67 a8 30 f8 18 09 d1 7a e7 1f 10 84 00 00 00 02 ba 42 c0 00 01 41 ce 10 e4 e6 b9 6f df fd fd a5 04 04 80",""
526,2977,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 7e 00 00 00 13 27 28 30 cd 86 09 d1 7b 67 1f 10 84 00 00 00 01 42 b3 94 00 00 00 00 00 01 28 00 04 11",""
527,2978,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 84 00 60 7f c2 00 35 40 e7 70 ca a0 09 91 68 91 1f 10 80 00 00 00 02 8a 7f 00 00 02 22 5b b4 f6 5f f1 4a 77 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
528,2978,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 86 00 60 7f c2 00 09 3e 27 30 df e0 09 91 63 51 5f 10 80 00 00 00 02 ca 8b 00 00 03 24 b7 a0 f7 2f f1 ce 73 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
529,3019,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 89 80 60 bf c2 00 2d f8 27 30 c2 60 49 91 43 91 df 10 80 00 00 00 00 7a a3 00 00 03 8a 5f 9c f4 97 fa b2 57 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
530,3020,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 51 00 00 00 1b 0a e3 30 cf a8 49 91 58 dd 9e 90 84 00 00 00 01 37 17 c0 00 00 00 00 00 01 28 00 04 11",""
531,3020,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 7c 00 00 00 35 a2 e2 70 da 28 89 91 5f 9d de 90 80 00 00 00 01 98 6a 40 00 00 00 00 00 01 28 00 04 11",""
