sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1586,10747,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 3c 00 47 00 00 00 00 00 20 00 2b 10 0b 00 89 2f ee 4a c7 2c 39 83 62 24 56 82 37 94 2e 6d 8b 23 d9 09 ac 90 22 88 06 80 3a 00 50",""
1587,10747,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 5e 00 00 00 21 d0 22 b0 c3 a9 09 91 6c 1a 9e 90 84 00 00 00 02 14 82 c0 00 00 00 00 00 01 28 00 04 11",""
1588,10747,"PACKET","IN",211,27,"PassengerSync","id=211 bytes=27","d3 97 00 29 00 01 00 64 4c 00 00 00 00 00 00 b7 f1 22 c3 dc b4 24 45 d4 93 7e 42",""
1589,10747,"RPC","IN",95,24,"CreatePickup","id=95 bytes=24","25 00 00 00 fb 04 00 00 17 00 00 00 60 65 59 c3 0a 1f 22 45 65 d9 7a 42",""
1590,10747,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 3c 00 47 00 00 00 00 00 20 00 23 50 12 50 c6 af e6 5a 07 2c 3e 53 22 24 5c 51 f7 94 2e bb 91 83 d6 19 af 00 21 37 96 80 3a 00 50",""
1591,10772,"PACKET","IN",207,49,"PlayerSync","id=207 bytes=49","cf 1f 00 00 00 32 86 ab 70 cf 00 09 d1 53 f5 9f d0 81 c8 24 ac 14 2f f3 e0 00 0c 00 00 00 02 e6 00 01 09 d6 7e 00 80 58 7c 00 31 be 7b 03 04 04 80",""
1592,10772,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 00 00 00 00 08 00 65 20 36 50 1f 5b 76 1f 91 fc 33 8b 92 44 56 f5 67 e4 2d 05 11 e3 fe 3f fe 57 a2 48 16 40 7f 00 00",""
1593,10773,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 6b 00 00 00 09 42 e6 f0 d3 4e 89 d1 7b 67 1f 10 84 00 00 00 03 77 d7 40 00 00 00 00 00 01 28 00 04 11",""
1594,10792,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 63 00 00 00 35 85 e6 f0 f9 48 49 d1 7b 67 1f 10 84 00 00 00 03 a1 c6 00 00 00 00 00 00 01 28 00 04 11",""
1595,10792,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 63 00 04 d4 4d 7c bf aa c0 db 3d dd 1c 06 be 5b f9 99 c3 ff 1d 27 45 f5 19 80 42 00 00 00 00 3f 44",""
1596,10812,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 08 00 00 00 31 14 29 70 fe 4b 8a 91 5c bf de 90 84 00 00 00 01 db ff c0 00 0c 00 00 00 01 13 04 04 80",""
1597,10813,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4b 00 00 00 34 a8 a3 70 ff 5d 09 91 7b 23 5e 90 80 00 00 00 03 47 12 00 00 00 00 00 00 01 a5 04 04 80",""
1598,10813,"PACKET","IN",211,27,"PassengerSync","id=211 bytes=27","d3 97 00 29 00 01 00 64 4c 00 00 00 00 00 00 b6 57 20 c3 1d b3 24 45 bb a7 7e 42",""
1599,10840,"PACKET","IN",207,49,"PlayerSync","id=207 bytes=49","cf 1f 00 00 00 29 06 6b 70 d2 40 09 d1 5f b5 5f d0 83 ac 25 b8 14 17 f3 e0 00 0c 00 00 00 02 e6 00 01 09 d6 7e 00 80 58 7c 00 31 be 7b f6 03 e8 80",""
1600,10840,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 3c 00 47 00 00 00 00 00 20 00 23 40 12 a0 b7 5f eb 39 e7 2c 36 93 22 24 5d 91 87 94 29 c3 3c e3 bb 26 73 bf d8 97 56 80 3a 00 50",""
1601,10840,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 54 00 00 00 31 4a e3 30 d7 9b 89 91 71 1f 1e 90 84 00 00 00 03 1e c2 c0 00 00 00 00 00 01 28 00 04 11",""
1602,10862,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 92 00 00 00 2c 75 e2 f0 dd a6 09 91 79 9e 1e 90 84 00 00 00 00 c2 8d c0 00 00 00 00 00 01 a5 04 04 80",""
